name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
бансонс бургер китчен,ресторан,лесная улица 20 стр. 3,"пн-чт 10:00–23:00; пт,сб 10:00–02:00; вс 10:00–23:00",10.0,,средний счёт:500–1000 ₽,750.0,,0,500.0,Москва,500.0,1000.0
impress,кофейня,ленинградский проспект 15 стр. 11,"пн,вт 11:00–20:00; ср,чт 12:00–21:00; пт-вс 11:00–20:00",9.6,,,,,0,90.0,Москва,,-1.0
столовая,кафе,улица добролюбова 8а стр. 1,пн-пт 10:00–16:00,8.8,,,,,1,98.0,Москва,,-1.0
guns & bears,"бар, паб",новослободская улица 46с1,"пн-чт 12:00–00:00; пт,сб 12:00–02:30; вс 12:00–00:00",9.2,высокие,цена бокала пива:270–390 ₽,,,0,,Москва,270.0,390.0
mollusca,ресторан,лесная улица 20с3,"ежедневно,10:00–23:00",9.0,,,,,0,,Москва,,-1.0
pizza hut,пиццерия,петровско-разумовский проезд 16,"ежедневно,10:00–22:00",8.0,средние,средний счёт:600–700 ₽,650.0,,1,35.0,Москва,600.0,700.0
тимир,столовая,улица правды 8 корп. 13,пн-пт 09:00–19:00,9.0,,,,,0,0.0,Москва,,-1.0
дагестанская лавка,быстрое питание,ленинградский проспект 36,"ежедневно,10:00–22:00",8.4,,,,,0,150.0,Москва,,-1.0
promenade lounge,кафе,ленинградский проспект 36 стр. 33,"ежедневно,круглосуточно",8.8,высокие,средний счёт:3000–4000 ₽,3500.0,,0,90.0,Москва,3000.0,4000.0
fast soup,кафе,новодмитровская улица 1с9,пн-чт 11:00–21:00; пт-вс 11:00–22:00,8.2,средние,средний счёт:от 500 ₽,500.0,,0,,Москва,500.0,-1.0
краболов,ресторан,ленинградский проспект 24а стр. 6,пн-ср 12:00–00:00; чт-сб 12:00–06:00; вс 12:00–00:00,8.8,выше среднего,средний счёт:500–2000 ₽,1250.0,,0,15.0,Москва,500.0,2000.0
