,name,category,address,hours,rating,avg_bill,middle_coffee_cup
2117,Friends of Friends,Кафе,"Санкт - Петербург , Дегтярная , 1а","пн - чт , вс 8.00 – 23.00 , пт - сб 8.00 – 0.00",,700 – 1700 рублей средний чек,
2118,Friends Place,Кафе,"Санкт - Петербург , Ломоносова , 3 , отель « Друзья »",пн - вс 8.00 – 1.00,,До 700 рублей средний чек,
2119,Friends Place,Кафе,"Санкт - Петербург , Садовая , 28 – 30 , корп.2",пн - вс 8.00 – 1.00,,До 700 рублей средний чек,
2120,Frime Gastro Lounge,Ресторан,"Санкт - Петербург , Типанова , 25 / 1",пн - вс 12.00 – 2.00,,700 – 1700 рублей средний чек,
2121,Frisson,Ресторан,"Санкт - Петербург , Бутлерова , 11 , корп.3",пн - вс 13.00 – 3.00,,700 – 1700 рублей средний чек,
2122,Funky Foods,Стритфуд,"Санкт - Петербург , Лиговский просп., 74",пн - вс 12.00 – 22.00,,До 700 рублей средний чек,
2123,Funky Pho,Ресторан,"Санкт - Петербург , просп.Космонавтов , 14 , ТРЦ « Радуга »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
2124,Funky Pho,Ресторан,"Санкт - Петербург , Лиговский просп., 153 , ТРК « Лигов »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
2125,Funny Family,Кафе,"Санкт - Петербург , Разводная , 7 / 1","пн - чт , вс 11.00 – 1.00 , пт - cб 11.00 – 3.00",,700 – 1700 рублей средний чек,
2126,Futo Maki,Кафе,"Санкт - Петербург , Кировский р - н , пос.Мга , Железнодорожная , 43",пн - вс 12.00 – 0.00,,До 700 рублей средний чек,
2127,Futurist,Ресторан,"Санкт - Петербург , Барочная , 6 , стр.1 , вход с Большой Зелениной улицы","пн 12.00 – 23.00 , вт - чт , вс 10.00 – 23.00 , пт - сб 10.00 – 0.00",,1700 – 3000 рублей средний чек,
2128,G23,Ресторан,"Санкт - Петербург , Гороховая , 23","пн - чт 12.00 – 23.00 , пт 12.00 – 2.00 , сб 14.00 – 2.00 , вс 14.00 – 23.00",,700 – 1700 рублей средний чек,
2129,Gaetano,Ресторан,"Санкт - Петербург , наб.реки Фонтанки , 5 / 2","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,1700 – 3000 рублей средний чек,
2130,Gaijin,Ресторан,"Санкт - Петербург , Оптиков , 34 , корп.1","пн - чт , вс 11.00 – 23.00 , пт - сб 11.00 – 0.00",,700 – 1700 рублей средний чек,
2131,Gaika Space,Банкетный зал,"Санкт - Петербург , Черняховского , 75",по предварительной договоренности,,,
2132,Galaxy Bakery,Кондитерская,"Санкт - Петербург , Биржевой пер., 4",пн - вс 10.00 – 22.00,,,
2133,Ganesha,Ресторан,"Санкт - Петербург , Садовая , 42",круглосуточно,,700 – 1700 рублей средний чек,
2134,Gans & Fridrikh,"бар, паб","Санкт - Петербург , Гатчинский р - н , дер.Малые Колпаны , Речной микрорайон , 3","пн - пт 13.00 – 23.00 , сб - вс 11.00 – 23.00",,До 700 рублей средний чек,
2135,Garagiste,Винотека,"Санкт - Петербург , Восстания , 24 , пространство « Флигель »","пн - чт , вс 18.00 – 0.00 , пт - сб 15.00 – 2.00",,,
2136,Garçon,Кондитерская,"Санкт - Петербург , Исаакиевская пл., 1 , ЦВЗ « Манеж »","пн - ср , пт - вс 11.00 – 19.00",,700 – 1700 рублей средний чек,
2137,Garçon,Кондитерская,"Санкт - Петербург , Суворовский просп., 47",пн - вс 9.00 – 21.00,,700 – 1700 рублей средний чек,
2138,Garçon,Кондитерская,"Санкт - Петербург , М.Морская , 20",пн - вс 9.00 – 21.00,,700 – 1700 рублей средний чек,
2139,Garçon,Кондитерская,"Санкт - Петербург , Лахтинская , 32","пн - пт 8.30 – 21.00 , сб - вс 9.00 – 21.00",,700 – 1700 рублей средний чек,
2140,Garçon,Кондитерская,"Санкт - Петербург , просп.Космонавтов , 14 , ТРЦ « Радуга »",пн - вс 10.00 – 22.00,,700 – 1700 рублей средний чек,
2141,Garçon,Кондитерская,"Санкт - Петербург , наб.реки Мойки , 73 , универмаг Au Pont Rouge , 3 этаж",пн - вс 10.00 – 22.00,,700 – 1700 рублей средний чек,
2142,Garçon,Кондитерская,"Санкт - Петербург , Большой просп.П.С., 30",пн - вс 9.00 – 21.00,,700 – 1700 рублей средний чек,
2143,Garçon,Кондитерская,"Санкт - Петербург , Б.Конюшенная , 3",пн - вс 9.00 – 21.00,,700 – 1700 рублей средний чек,
2144,Garçon Catering & Events,Ресторан,,,,,
2145,Garden Café,Кафе,"Санкт - Петербург , Лахтинский просп., 85 , ТВК « Гарден - сити », 2 этаж","пн - пт 11.00 – 22.00 , сб - вс 12.00 – 22.00",,700 – 1700 рублей средний чек,
2146,Garden Street,Кондитерская,"Санкт - Петербург , Инженерная , 9а , 1 этаж",пн - вс 7.00 – 23.00,,1700 – 3000 рублей средний чек,
2147,Gastrogarbar,Ресторан,"Санкт - Петербург , Гороховая , 49 , литера Б , пространство Seno",пн - вс 12.00 – 23.00,,700 – 1700 рублей средний чек,
