name,category,address,hours,rating,avg_bill,middle_coffee_cup
Вы Дао вкус Азии,ресторан,"Санкт-Петербург, ул. 7-я Красноармейская 5","Пн–Пт: 11:00 — 22:30, Сб–Вс: 12:00 — 22:30",5.5,Средний чек 900 р. без напитков,
Thai Fun,ресторан,"Санкт-Петербург, ул. Киевская 12",Пн–Вс: 12:00 — 23:00,0,Средний чек 1200 р. без напитков,
+86 китайская кухня,ресторан,"Санкт-Петербург, ул. Марата 29",Пн–Вс: 11:00 — 22:00,0,Средний чек 500 р. без напитков,
Mai Thai,ресторан,"Санкт-Петербург, Мурино, Петровский б-р 2/1",Пн–Вс: 11:00 — 23:00,6,Средний чек 1100 р. без напитков,
A May,ресторан,"Санкт-Петербург, наб. реки Фонтанки 50",Пн–Вс: 10:00 — 22:00,0,Средний чек 300 р. без напитков,
Why.China,ресторан,"Санкт-Петербург, Казанская ул. 23",Пн–Вс: 11:00 — 21:00,7.5,Средний чек 600 р. без напитков,
CityRestGo,ресторан,"Санкт-Петербург, ул. Чайковского 38/9",Пн–Вс: 12:00 — 23:00,0,Средний чек 900 р. без напитков,
Proroll,ресторан,"Санкт-Петербург, Добавить отзыв",Пн–Вс: 11:00 — 23:00,0,Средний чек 600 р. без напитков,
Тайвань,ресторан,"Санкт-Петербург, Лермонтовский пр. 30",Пн–Вс: 12:00 — 22:30,0,Средний чек 1200 р. без напитков,
TopEr,ресторан,"Санкт-Петербург, ул. Типанова 29",Пн–Вс: 12:00 — 23:30,0,Средний чек 1300 р. без напитков,
Русская рюмочная № 1,ресторан,"Санкт-Петербург, б-р Конногвардейский 4",Пн–Вс: 12:00 — 00:00,8.8,Средний чек 3500 р. без напитков,
Наследники,ресторан,"Санкт-Петербург, пр. Каменноостровский 11","Пн–Чт: 11:00 — 23:00, Пт–Сб: C 11:00 — до последнего гостя, Вс: 11:00 — 23:00",7.4,Средний чек 1500 р. без напитков,
Пьяна ель,ресторан,"Санкт-Петербург, ул. Пестеля 21",Пн–Вс: 16:00 — 02:00,7.2,Средний чек 800 р. без напитков,
L'eclat,ресторан,"Санкт-Петербург, ул. Пестеля 1/12",Пн–Вс: 07:00 — 23:00,7.8,Средний чек 1500 р. без напитков,
La Familia,ресторан,"Санкт-Петербург, наб. канала Крюкова 27",Пн–Вс: 13:00 — 23:00,9.9,Средний чек 1550 р. без напитков,
Комель,ресторан,"Санкт-Петербург, ул. Караванная 2",Пн–Вс: 11:00 — 23:00,8,Средний чек 1000 р. без напитков,
Поминальная трапеза,ресторан,"Санкт-Петербург, пр. Кондратьевский 62 корп.1",Пн–Вс: 11:00 — 23:30,0,Средний чек 800 р. без напитков,
Руки ВВерх!,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1800 р. без напитков,
Совиньон,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 2500 р. без напитков,
Гуси-лебеди,ресторан,"Санкт-Петербург, пр. Коломяжский 19/2","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 23:00",8.3,Средний чек 1100 р. без напитков,
Штакеншнейдер,ресторан,"Санкт-Петербург, ул. Миллионная 10",Пн–Вс: 08:00 — 23:00,8.8,Средний чек 2700 р. без напитков,
Дети на кухне,ресторан,"Санкт-Петербург, ул. Решетникова 12",Пн–Вс: 11:00 — 22:00,0,Средний чек 1200 р. без напитков,
Виктория,ресторан,"Санкт-Петербург, пр. Невский 15",Пн–Вс: 12:00 — 23:00,0,Средний чек 3000 р. без напитков,
Creme de La Creme,ресторан,"Санкт-Петербург, пр. Большеохтинский 1к1",Пн–Вс: 12:00 — 22:00,0,Средний чек 2350 р. без напитков,
Проспект,ресторан,"Санкт-Петербург, ул. М. Морская 21",Пн–Вс: 12:00 — 23:00,9.4,Средний чек 1050 р. без напитков,
Москва,ресторан,"Санкт-Петербург, пр. Невский 114-116","Пн–Ср: 10:00 — 23:00, Чт–Сб: 10:00 — 00:00, Вс: 10:00 — 23:00",7.9,Средний чек 2100 р. без напитков,
